row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
question,a08b4155-ef1a-4434-b97d-394d02d575d0,2022,1,“Rapid Financing Instrument” and ” Rapid Credit Facility” are related to the provisions of lending by which one of the following?,non_ascii_suspect;no_primary_tag,flagged,,,,
question,2280ddb8-ae5a-4d77-bb8e-57ba61ae86b5,2022,2,"With reference to the Indian economy, consider the following statements: An increase in Nominal Effective Exchange Rate (NEER) indicates the",no_primary_tag,flagged,,,,
question,4033fc46-d293-4874-b225-fb5a19a9a3d6,2022,3,"With reference to the Indian economy, consider the following statements: If the inflation is too high, Reserve Bank of India (RBI) is likely",no_primary_tag,flagged,,,,
question,1bd83ede-4780-45c4-9130-6808500b4a7a,2022,4,"With reference to the “G20 Common Framework”, consider the following statements: It is an initiative endorsed by the G20 together with the P",non_ascii_suspect;no_primary_tag,flagged,,,,
question,b489662a-0aeb-404b-ae37-685f918e10a1,2022,5,"With reference to the India economy, what are the advantages of “Inflation-Indexed Bonds (IIBs)”? Government can reduce the coupon rates on ",non_ascii_suspect;no_primary_tag,flagged,,,,
question,e6dead21-9d52-4e13-bb23-b1e8dce69b3a,2022,6,"With reference to foreign-owned e-commerce firms operating in India, which of the following statements is/are correct? They can sell their o",no_primary_tag,flagged,,,,
question,df929d6e-98d1-44d1-be64-e921b8ea0a82,2022,7,Which of the following activities constitute real sector in the economy? farmers harvesting their crops Textile mills converting raw cotton ,no_primary_tag,flagged,,,,
question,19e99e3c-dcf3-4283-a704-cff8526b1285,2022,8,Which one of the following situations best reflects “Indirect Transfers” often talked about in media recently with reference to India?,non_ascii_suspect;no_primary_tag,flagged,,,,
question,11500343-5a20-49e4-8144-46fbb61eb271,2022,9,"With reference to the expenditure made by an organization or a company, which of the following statements is/are correct? Acquiring new tech",no_primary_tag,flagged,,,,
question,c2878fd6-204c-4872-8dc5-83f82c62f74e,2022,10,"With reference to the Indian economy, consider the following statements: A share of the household financial savings goes towards government ",no_primary_tag,flagged,,,,
question,a00ba186-d4fc-4cf8-aedb-12055921cbc2,2022,11,"Consider the following statements: Pursuant to the report of H.N. Sanyal Committee, the Contempt of Courts Act, 1971 was passed. The Constit",no_primary_tag,flagged,,,,
question,55d6290f-58f9-4c4f-8b78-77f238b2d421,2022,12,"With reference to India, consider the following statements: Government law officers and legal firms are recognized as advocates, but corpora",no_primary_tag,flagged,,,,
question,58d3839e-d07a-4aff-aa81-6e18394a9c13,2022,13,Consider the following statements: A bill amending the Constitution requires a prior recommendation of the President of India. When a Consti,no_primary_tag,flagged,,,,
question,78244c98-2ebe-49bc-a9f4-6e43bf1307d8,2022,14,"Consider the following statements: The Constitution of India classifies the ministers into four ranks viz. Cabinet Minister, Minister of Sta",no_primary_tag,flagged,,,,
question,826c6b41-fdd3-4680-862e-1c4485a07ff0,2022,15,Which of the following is/are the exclusive power(s) of Lok Sabha? To ratify the declaration of Emergency To pass a motion of no-confidence ,no_primary_tag,flagged,,,,
question,f0b4bff7-4ed5-4eca-bcc8-057cbad4b4d1,2022,16,"With reference to anti-defection law in India, consider the following statements: The law specifies that a nominated legislator cannot join ",no_primary_tag,flagged,,,,
question,45918c20-4a39-4968-83a4-b4a3c56cb903,2022,17,Consider the following statements: Attorney General of India and Solicitor General of India are the only officers of the Government who are ,no_primary_tag,flagged,,,,
question,8d7a8554-fa5f-4ba8-820b-26ff5fe3430c,2022,18,"With reference to the writs issued by the Courts in India, consider the following statements: Mandamus will not lie against a private organi",no_primary_tag,flagged,,,,
question,816c2b1b-9919-4a68-a036-795ef245212a,2022,19,"With reference to Ayushman Bharat Digital Mission, consider the following statements: Private and public hospitals must adopt it. As it aims",no_primary_tag,flagged,,,,
question,ad53614d-ab83-4945-b6ab-daacf99ca91e,2022,20,"With reference to Deputy Speaker of Lok Sabha, consider the following statements: As per the Rules of Procedure and Conduct of Business in L",no_primary_tag,flagged,,,,
question,98bcfa77-9779-4a01-ba19-908b537aeb80,2022,21,"Among the following crops, which one is the most important anthropogenic source of both methane and nitrous oxide?",no_primary_tag,flagged,,,,
question,08c7f16d-97d7-444c-b67b-fe8a6b9fd357,2022,22,"“System of Rice Intensification” of cultivation, in which alternate wetting and drying of rice fields is practised, results in: Reduced seed",non_ascii_suspect;no_primary_tag,flagged,,,,
question,903523c4-99ea-4439-bb84-163e1ba9cc26,2022,23,Which one of the following lakes of West Africa has become dry and turned into a desert?,no_primary_tag,flagged,,,,
question,d47ca9ad-f7a2-4258-890b-1a9ea921d9a9,2022,24,Gandikota canyon of South India was created by which one of the following rivers?,no_primary_tag,flagged,,,,
question,42454fcd-d17a-49e3-bbea-d060a5918445,2022,25,Consider the following pairs: Peak: : Mountains Namcha Barwa : Garhwal Himalaya Nanda Devi : Kumaon Himalaya Nokrek : Sikkim Himalaya Which ,no_primary_tag,flagged,,,,
question,ff87273a-7da0-49ce-aeb9-1c1385fd3def,2022,26,The term “Levant” often heard in the news roughly corresponds to which of the following regions?,non_ascii_suspect;no_primary_tag,flagged,,,,
question,a99852cf-f089-45af-9826-16b682d2cb90,2022,27,Consider the following countries: Azerbaijan Kyrgyzstan Tajikistan Uzbekistan Turkmenistan Which of the above have borders with Afghanistan?,no_primary_tag,flagged,,,,
question,57bcda84-d8c2-4acc-868b-eebddeb30634,2022,28,"With reference to India, consider the following statements: Monazite is a source of rare earths. Monazite contains thorium. Monazite occurs ",no_primary_tag,flagged,,,,
question,db53a9cf-39e7-418d-8e07-b606dfa36bf5,2022,29,"In the northern hemisphere, the longest day of the year normally occurs in the:",no_primary_tag,flagged,,,,
question,7a1d0ace-ac1d-418c-9d8f-2f1ca757a64a,2022,30,Consider the following pairs: Wetland/Lake: : Location Hokera Wetland : Punjab Renuka Wetland : Himachal Pradesh Rudrasagar Lake : Tripura S,no_primary_tag,flagged,,,,
question,ecf8d291-b4f5-4db6-b9b8-ef9f2387b2fb,2022,31,Consider the following: Aarogya Setu COWIN DigiLocker DIKSHA Which of the above are built on top of open-source digital platforms?,no_primary_tag,flagged,,,,
question,de6e6b61-0235-48f7-8919-c38876f68601,2022,32,"With reference to Web 3.0 consider the following statements: Web 3.0 technology enables people to control their own data In Web 3.0 world, t",no_primary_tag,flagged,,,,
question,4036152c-c211-40e3-b460-59d2f0d85d11,2022,33,"With reference to “Software as a Service (SaaS)”, consider the following statements: SaaS buyers can customise the user interface and can ch",non_ascii_suspect;no_primary_tag,flagged,,,,
question,4c90f0e7-b09a-4cc2-89b6-853c5efa3d65,2022,34,Which one of the following statements best reflects the idea behind the “Fractional Orbital Bombardment System” often talked about in media?,non_ascii_suspect;no_primary_tag,flagged,,,,
question,7c739e55-56e0-4198-ae87-5b9fa1e69c5c,2022,35,Which one of the following is the context in which the term “qubit” is mentioned?,non_ascii_suspect;no_primary_tag,flagged,,,,
question,68c5a960-1fc0-40ca-9a16-e5fa2ef4ebc4,2022,36,Consider the following communication technologies: Closed-circuit Television Radio Frequency Identification Wireless Local Area Network Whic,no_primary_tag,flagged,,,,
question,27456924-718b-411e-b3e5-3e2780f618b8,2022,37,Consider the following statements: Biofilms can form on medical implants within human tissues. Biofilms can form on food and food processing,no_primary_tag,flagged,,,,
question,0bb85111-7010-4de6-9821-ae328f7a9713,2022,38,Consider the following statements in respect of probiotics: Probiotics are made of both bacteria and yeast. The organisms in probiotics are ,no_primary_tag,flagged,,,,
question,65fcd877-0a99-4723-a6f6-e7dbabd4afdb,2022,39,"In the context of vaccines manufactured to prevent COVID-19 pandemic, consider the following statements: The Serum Institute of India produc",no_primary_tag,flagged,,,,
question,647a52a8-e873-4f72-ac64-24156a7403d3,2022,40,"If a major solar storm (solar flare) reaches the Earth, which of the following are the possible effects on the Earth? GPS and navigation sys",no_primary_tag,flagged,,,,
