"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty"
"question","839ee115-0e11-4752-bf5c-0f07acab5e2e","2024","1","How many delimitation Commissions have been constituted by the Government of India till December 2023?","","spot_check","","","1afc4357-2858-4c3e-96df-b2edce2ef62c","hard"
"question","419166da-a673-47c1-b4c5-37f8fc1b8c3a","2024","2","The Constitution (71st Amendment) Act, 1992 amends the Eights Schedule to the Constitution to include which of the following languages? Konk","","","","","0a2e418a-424d-4fdf-8e46-254493318c5e","medium"
"question","0b121439-e875-40ee-a4b9-b3e96ff7809e","2024","3","Consider the following pairs: Party : Its Leader Bharatiya Jana Sangh : Dr. Shyama Prasad Mukherjee Socialist Party : C. Rajagopalachari Con","","","","","7f08042b-edc7-4906-a2ff-59baa3b96176","hard"
"question","ecf47fe9-6523-4356-9009-9ff2a5d04ad2","2024","4","Which of the following statements are correct about the constitution of India? Powers of the Municipalities are given in Part IX A of the Co","","","","","0ebbb2b4-5582-46ed-88d2-5e2f88ad76d7","medium"
"question","5ac5cead-d026-4622-b41d-4b95d4903459","2024","5","Which one of the following statements is correct as per the Constitution of India?","","","","","b75efc14-0e32-4fc1-9fcb-bf313d91cb28","medium"
"question","9bb3f4e6-2f1f-443c-a767-205e0e11ab96","2024","6","Under which of the following Articles of the Constitution of India, has the Supreme Court of India placed the Right to Privacy?","","","","","0ad674a9-0694-42e8-ac87-a79e85e9f5b1","easy"
"question","64c264f2-89dd-4974-a7ef-41565b3d38ae","2024","7","What are the duties of the Chief of Defence Staff (CDS) as Head of the Department of Military Affairs? Permanent Chairman of Chiefs of Staff","","","","","fca7b5dd-2ae8-4169-99e6-12d6961699b1","medium"
"question","4092070a-0926-4f29-b728-4fc0f4c3a873","2024","8","Operations undertaken by the Army towards upliftment of the local population in remote areas to include addressing of their basic needs is c","","","","","fca7b5dd-2ae8-4169-99e6-12d6961699b1","hard"
"question","5d2ce052-06c0-40e5-bb91-95235e936027","2024","9","The longest border between any two countries in the world is between:","","","","","84bc27b9-0cd8-4469-97cb-2c4678d19382","easy"
"question","03ddf8f8-5af1-49d6-b616-33f6dda05381","2024","10","Which of the following statements about the Ethics Committee in the Lok Sabha are correct? Initially it was an ad-hoc Committee. Only a Memb","","","","","c04bfe17-b535-4178-b5c6-f40b4baf19e6","medium"
"question","7a84bbd6-b19b-427f-af1e-fee17b439ee9","2024","11","Who was the Provisional President of the Constituent Assembly before Dr. Rajendra Prasad took over?","","spot_check","","","7110e9d8-f86c-4a73-ab97-fdf622665b8e","medium"
"question","45b67036-b975-4848-8c6f-2e9ff8d5f615","2024","12","With reference to the Government of India Act, 1935, consider the following statements: It provided for the establishment of an All India Fe","","","","","8c060e1c-e55a-481b-9676-6d0d49874acb","easy"
