row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
question,e01df207-8166-4643-8ab8-ab950078ffb6,2021,1,"Under the Indian Constitution, concentration of wealth violates",no_primary_tag,flagged,,,,
question,b2f28300-b5ab-4db3-a3bf-2fb5c223717c,2021,2,What is the position of the Right to Property in India?,no_primary_tag,flagged,,,,
question,ecf80b5b-304d-4982-96fd-90cceb58fb7d,2021,3,What was the exact constitutional status of India on 26th January 1950?,no_primary_tag,flagged,,,,
question,c19239a5-3d58-4363-a694-ca3bfb8d6175,2021,4,Constitutional government means,no_primary_tag,flagged,,,,
question,fe3234fe-f081-4158-828c-bb86330b47f7,2021,5,"With reference to India, the terms ‘Halbi, Ho and Kui’ pertain to",non_ascii_suspect;no_primary_tag,flagged,,,,
question,e7f595ab-25d8-452f-aebf-6a8fdf630511,2021,6,Consider the following statements in respect of Bharat Ratna and Padma Awards: Bharat Ratna and Padma Awards are titles under the Article 18,no_primary_tag,flagged,,,,
question,b2bbe1ec-dd3a-45f6-ab2e-75e7f3c92f9d,2021,7,Consider the following statements: Statement 1: The United Nations Capital Development Fund (UNCDF) and the Arbor Day Foundation have recent,no_primary_tag,flagged,,,,
question,33a70248-e307-480e-baf0-a2ced6050487,2021,8,Consider the following statements in respect of the Laureus World Sports Award which was instituted in the year 2000: American golfer Tiger ,non_ascii_suspect;no_primary_tag,flagged,,,,
question,85b18d4f-66ad-498b-acbe-0be12b9cffd9,2021,9,Consider the following statements in respect of the 32nd Summer Olympics: The Official Motto for this Olympics is ‘A New World’. Sport Climb,non_ascii_suspect;no_primary_tag,flagged,,,,
question,7638b488-c9e4-4e47-a174-8ef6fa2beb4a,2021,10,Consider the following statements in respect of the ICC World Test Championship: The finalists were decided by the number of matches they wo,no_primary_tag,flagged,,,,
question,3f05109e-e6fc-45ac-a546-d32e5ece58ae,2021,11,Consider the following statements: ‘Right to the City’ is an agreed human right and the UN-Habitat monitors the commitments made by each cou,non_ascii_suspect;no_primary_tag,flagged,,,,
question,71f6446b-c954-4a68-a7f9-3497c9bf32b6,2021,12,"With reference to India, consider the following statements: Judicial custody means an accused is in the custody of the concerned magistrate ",no_primary_tag,flagged,,,,
