question_number,difficulty
1,easy
2,medium
3,easy
4,medium
5,easy
6,hard
7,medium
8,hard
9,hard
10,medium
11,medium
12,medium
13,medium
14,medium
15,hard
16,medium
17,hard
18,hard
19,hard
20,hard
21,medium
22,medium
23,medium
24,hard
25,hard
26,hard
27,hard
28,medium
29,hard
30,medium
31,medium
32,medium
33,medium
34,hard
35,hard
36,hard
37,hard
38,hard
39,hard
40,hard
41,medium
42,medium
43,medium
44,hard
45,medium
46,hard
47,hard
48,hard
49,hard
50,hard
51,medium
52,hard
53,easy
54,easy
55,hard
56,hard
57,hard
58,hard
59,hard
60,hard
61,medium
62,medium
63,medium
64,hard
65,medium
66,hard
67,hard
68,hard
69,hard
70,hard
71,easy
72,medium
73,medium
74,hard
75,hard
76,hard
77,hard
78,medium
79,medium
80,medium
