id,subject,name
bc25126f-b87b-48ab-815a-e38d4695b353,General Studies I,'Adivasi' as a category: reasons for the term and geographic concentration of tribal populations; issues with tribal habitat in India
8384d02b-49b9-4025-8895-508fd22a08ed,General Studies I,"18th-century society, economy, and culture: rural society, artisans, standard of living, ruling classes, inland/overseas trade, religion, fine arts, science and technology"
c5a88fcd-8bda-41a1-8ab7-f8c3d7ea8037,General Studies I,"Agricultural geography: land-use/capability classification, land degradation, cropping seasons/patterns/regionalization, infrastructure factors (seeds, fertilizers, irrigation), agricultural revolutions, labour, price policy, marketing, insurance, agricultural census, major crop conditions-of-growth"
537f74e9-41ab-45b2-947b-de8daec9a50b,General Studies I,"Architecture in ancient India: Harappan, Mauryan, post-Mauryan/Gupta periods"
2071ecc9-3042-45cc-b6d5-0a2c7970f1c8,General Studies I,"Atmospheric & coastal phenomena: geomagnetic storms and auroras, sea swells and rip currents, alpenglow phenomenon, atmospheric rivers, lightning in India"
05efedef-7ad8-4945-abfa-5b2861fb2306,General Studies I,"Aurangzeb: religious policy phases, temples/jizyah, territorial consolidation, popular revolts (Jats, Satnamis, Sikhs), and the climax/crisis of the empire"
48f777dc-05ca-423d-8267-33de79eb8587,General Studies I,"Beginning of the modern age: disintegration of the feudal system, Renaissance (humanism, art, architecture, literature, science), Reformation, explorations/discovery/trade, colonization and the rise of the nation-state, the English Revolution"
2c26a666-8e16-46a5-9362-547604b3556e,General Studies I,Bhakti and Sufi movements: reach across age/gender/religious barriers; Sri Chaitanya's re-orientation; Vaishnava Acharyas' metaphysical foundations; Maharashtra Dharma; Brahmo Samaj and Ramakrishna Mission as 19th-century reform continuities
783a870d-9175-439d-9b4e-5dd4ff1bd6eb,General Studies I,"Biogeography: soil formation processes/profiles/classification/erosion-conservation; vegetation types, forest significance (economic/ecological/cultural), forest cover, deforestation causes/patterns (tropical vs temperate), and conservation strategies (reforestation, afforestation, agro-forestry, Mi"
f23ed3c3-13b4-40cd-9bff-1e8904524068,General Studies I,"Caste system: structural resilience as a barrier to social mobility, and its adaptation to modernization/secularization"
c44426e6-7a3a-420a-b903-fc6f9cb236b1,General Studies I,"Census themes: literacy, sex ratio, family planning, ageing population, age structure, density, population growth, census terminology, and the caste-census debate"
220d8acc-996a-418a-9fea-70b2157329ce,General Studies I,"Central Asian politics and Babur's advance: Timurids, Uzbek-Iran conflict, and the struggle for empire in north India (Panipat, Rana Sanga, Afghans)"
3ffa1fcb-5db4-41ef-afb5-b6637d76b9d4,General Studies I,"Children and vulnerable-section issues: child labour, child adoption, Juvenile Justice Act 2015, child trafficking, age of consent; tribal welfare (denotified tribes), LGBTQIA+ rights, disability rights, manual scavenging, marginalisation of sexual minorities"
