row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview,paper_id,section,current_primary_topic_id,apply_result,apply_detail
question,04ffc54a-812b-4c61-b25c-1f908ede131f,2026,1,The Digital Public Infrastructure (DPI) model has become important in governance because it allows governments to deliver digital services a,,spot_check,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,00d3f0d6-79a3-4c9b-a019-d0ac728fbb19,difficulty;verified,
question,2f2031eb-b068-4189-9c44-8520a689b3e9,2026,2,"As of May 2026, which of the following countries is a current member of the Organization of the Petroleum Exporting Countries (OPEC)?",,,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,75f89786-112e-4d19-ace5-a941f8fe577b,difficulty;verified,
question,ef3abb4d-658b-48b1-af7e-d8f6b0bfd75d,2026,3,India signed a Comprehensive Economic Partnership Agreement (CEPA) in December 2025 with which of the following country?,no_primary_tag,flagged,verified,,dcf342df-0b93-4e2c-91a1-42e0781cd12c,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,,difficulty;tagged;verified,
question,de1fe05f-4db9-4e7d-b736-bc661891ccd3,2026,4,"On May 18, 2026, Prime Minister Narendra Modi was conferred the prestigious Grand Cross of the Royal Norwegian Order of Merit by His Majesty",no_primary_tag,flagged,verified,,b2983344-9a73-4205-bc92-76949ad7d588,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,,difficulty;tagged;verified,
question,6b0f11cc-917a-4b79-a528-d7d31821cf55,2026,5,"In India, Goods and Services Tax (GST) Day is observed every year on which date?",,,,,,,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,343ffe9a-9415-4efe-bb5d-d23f38e739b9,skipped,no decision
question,9d688c8e-f58d-4519-9d70-63bbf51e5eb6,2026,6,"The International Day of Yoga is observed every year to promote the physical, mental and spiritual benefits of yoga. On which date is it cel",,,,,,,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,343ffe9a-9415-4efe-bb5d-d23f38e739b9,skipped,no decision
question,2022e57d-54e8-48b3-a1ca-9a6ae593ef20,2026,7,"Which Indian cricketer became the co-owner of Dublin Guardians, a team in the European T20 Premier League (ETPL)?",no_primary_tag,flagged,verified,,8e5aa145-440d-4db7-a3f4-9ee6e4aed196,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,,difficulty;tagged;verified,
question,91a65ba0-669c-4fbe-a590-bbb544b1b0ac,2026,8,Vijay Ghat in New Delhi is the memorial associated with which Indian personality?,,,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,6a8a23a0-eddb-4aa1-abbc-28c8b4d4ed66,difficulty;verified,
question,b1b9849f-bd96-4cc0-a1ec-47a8ba1c769a,2026,9,The term Brexit in context of United Kingdom refers to which of the following?,,,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,23c0eda6-6163-457d-92b3-1fb9b06f4745,difficulty;verified,
question,4a0e3cc6-8e0b-42ea-a182-4b0a4761a47f,2026,10,"With reference to the selection process of the Padma Awards, consider the following statements: 1. It is one of the highest civilian awards ",,,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,0734c7f5-2098-4834-9730-47626b2d2704,difficulty;verified,
question,567adce5-89df-4dc8-8e92-f2716b321b54,2026,11,Which of the following countries is not a member of the Commonwealth of Nations?,,,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,75f89786-112e-4d19-ace5-a941f8fe577b,difficulty;verified,
question,d5975b37-c0aa-4532-9030-178ce9bc6a3e,2026,12,Which of the following is not a department under the Ministry of Agriculture and Farmers Welfare?,,,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,6d0f52ab-fc19-4d0f-b039-cec519f82dea,difficulty;verified,
question,e0785b24-5a22-4270-903f-29bf8ca8ce88,2026,13,"In the history of Indian coinage after Independence, what does the term “Frozen Series” refer to?",non_ascii_suspect,flagged,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,7e1e6fc8-4e40-4e18-bfb7-660c80143603,difficulty;verified,
question,db8e599f-e6a6-4020-85db-ce46a0258cf9,2026,14,"Indian Railways launched CHIRAG to strengthen Human Resource systems through information technology, research, analytics and governance supp",,,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,32f83c7c-b513-4853-bb49-c6ffc6a19b40,difficulty;verified,
question,74e8eb73-feda-431e-ae1e-d817ecc2f3bc,2026,15,Match the following financial organisations with their correct roles: List I: Organisation List II: Role 1. SIDBI a. Financing and facilitat,non_ascii_suspect,flagged,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,7aa6a5c3-2e2a-46c9-b5cf-d8a2168f4f88,difficulty;verified,
question,df98d6c3-307d-42d2-9d88-9fc3cba2b14f,2026,16,"Which of the following is an Artificial Intelligence-powered e-commerce chatbot that helps users search for products, compare options, and c",,,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,9dd02f97-b76e-4e51-95fe-cd68265df28c,difficulty;verified,
question,29e05594-470e-4f38-87df-2db9ad5bf3b8,2026,17,Which of the following are the strategic pillars of the Reserve Bank of India’s Utkarsh 2029 strategy framework?,non_ascii_suspect,flagged,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,7e1e6fc8-4e40-4e18-bfb7-660c80143603,difficulty;verified,
question,16ebb855-d630-4b16-aa86-160abcbb225f,2026,18,Which among the following statement is not true regarding the Mughal Empire.,,,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,a5161b93-a3a2-4368-b9a3-d7313146789c,difficulty;verified,
question,f3891a94-4292-4271-8cd8-098f2d7c9347,2026,19,Where is the ICC Women’s T20 World Cup 2026 being held?,non_ascii_suspect;no_primary_tag,flagged,verified,,8e5aa145-440d-4db7-a3f4-9ee6e4aed196,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,,difficulty;tagged;verified,
question,c6f4a179-832d-4d00-8e21-d3851ae27ee5,2026,20,"With reference to Census 2027, consider the following statements: 1. The second phase of the census will work on caste based Population Enum",no_primary_tag,flagged,verified,,1dc3e5ea-2950-42a3-8c79-8a45ade66003,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,,difficulty;tagged;verified,
question,687061dd-0502-4743-90c1-808b215ebbbe,2026,21,"Which ancient Indian text is primarily related to economics, polity, administration and statecraft?",,spot_check,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,93d15d96-99b2-489a-a9bf-56ebf8c76ae2,difficulty;verified,
question,fba8b074-a1ac-4ac1-ac0b-ae4423d6e9b0,2026,22,Which bank was awarded the National Award for Outstanding Performance in Self- Help Group (SHG)-Bank Linkage 2024–25?,non_ascii_suspect;no_primary_tag,flagged,verified,,b2983344-9a73-4205-bc92-76949ad7d588,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,,difficulty;tagged;verified,
question,435e6157-3134-451d-a3b0-d7e169ea32a4,2026,23,India’s first underwater road-cum-rail tunnel is proposed under which State?,non_ascii_suspect,flagged,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,ba519e51-98c4-4db7-b2da-a2e4b2835dba,difficulty;verified,
question,731f7ea2-af59-4434-963c-ec99b77bf40e,2026,24,Which of the following species is listed as Near Threatened in the International Union for Conservation of Nature (IUCN) Red List?,,,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,d1525b57-f332-4174-9f7d-b8edd11e0e8b,difficulty;verified,
question,96983e4c-9443-438f-ba1d-4a9622cb33a7,2026,25,Which famous statue is located on the bank of the Narmada River?,,,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,8ac1aa30-49ea-459c-871b-685f98a31fc9,difficulty;verified,
question,e31db937-4117-4543-944a-0ffa11ad37c6,2026,26,"The National Security Guard (NSG), India’s elite counter-terrorism force, is popularly known by which nickname?",non_ascii_suspect,flagged,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,d7285f63-0e95-446a-ac3a-9b01fe376174,difficulty;verified,
question,81ef43fd-1890-405f-9ce2-48ecb8b555ec,2026,27,Digital Postal Index Number (DIGIPIN) is India’s geo-coded digital addressing system. How many characters are used in a DIGIPIN?,non_ascii_suspect,flagged,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,32f83c7c-b513-4853-bb49-c6ffc6a19b40,difficulty;verified,
question,a7cd2a57-d363-4ead-ba0b-5290d0ceb402,2026,28,The Reserve Bank of India recently cancelled the banking licence of which payments bank in April 2026?,no_primary_tag,flagged,verified,,f56288ef-a26d-402b-9dc1-f1d4e141968e,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,,difficulty;tagged;verified,
question,d05258b3-b61d-47be-b1c6-752e578da1ca,2026,29,"In the context of Real Time Gross Settlement (RTGS) transactions in India, what is the minimum transaction amount?",,,verified,,,medium,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,390cb8c4-537c-469c-b3d1-14d9194d8cea,difficulty;verified,
question,fd588fbf-d6de-4553-809b-0941ae676f05,2026,30,Who is the author of the book M. S. Swaminathan: The Man Who Fed India?,,,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,4db77fe0-323e-4f1f-88c3-f35a6c823427,difficulty;verified,
question,50a601b2-a5b1-4d35-972c-b57d1937cd63,2026,31,Which of the following personalities has not been awarded the Bharat Ratna?,,,verified,,,easy,,a2cf30d7-354f-4f88-ac7f-182206519104,General Awareness,0734c7f5-2098-4834-9730-47626b2d2704,difficulty;verified,
