question_number,assign_topic_id,microtopic_name,confidence
1,05a42bff-7b96-4847-896a-b18711d64ae0,Directive Principles and Fundamental Duties,ok
2,7125cf43-14da-4d26-afd2-99ba4482bb6d,Right to Property,ok
3,7110e9d8-f86c-4a73-ab97-fdf622665b8e,Making of the Constitution,ok
4,b75efc14-0e32-4fc1-9fcb-bf313d91cb28,Philosophy of the Constitution,ok
5,0a2e418a-424d-4fdf-8e46-254493318c5e,Official languages and the Eighth Schedule,ok
6,03bdd74d-9a63-4d29-836b-51ab10a66f03,"National symbols, honours and awards",ok
7,b56a807c-ff2c-4fed-a65a-3b39dad23211,"Awards, honours and civilian decorations",check
8,69cb3017-786c-4b2f-81a0-5606fc936547,Sporting events and championships,ok
9,69cb3017-786c-4b2f-81a0-5606fc936547,Sporting events and championships,ok
10,69cb3017-786c-4b2f-81a0-5606fc936547,Sporting events and championships,ok
11,fdc986d4-cd5f-4d73-8d34-7f1d7f281131,Local governments,check
12,835acb19-80b7-41b0-8878-65dce65aaabf,Criminal justice and prison administration,ok
13,835acb19-80b7-41b0-8878-65dce65aaabf,Criminal justice and prison administration,ok
14,7a9ef97f-03cf-491f-a0f4-01851b3df797,Forest laws and forest rights,ok
15,c84898db-ce5a-4ae9-9bc5-219f81fac0e6,Fundamental Rights,ok
16,347ca3d5-2c4c-416c-98e1-7895c3d7e9f8,Federalism in India,ok
17,b75efc14-0e32-4fc1-9fcb-bf313d91cb28,Philosophy of the Constitution,check
18,1dd4bd6f-633a-4a2b-aeb1-672574aacb30,Supreme Court: jurisdiction and composition,ok
19,796be476-da1a-4b24-bae6-a6bd5eb01591,Citizenship and domicile,ok
20,b75efc14-0e32-4fc1-9fcb-bf313d91cb28,Philosophy of the Constitution,ok
21,47dcedf5-5a6e-4d5c-9611-8faedbae02eb,States of matter and material properties,ok
22,a7c38826-f412-45d2-b9ac-37e5061961ac,Electricity and magnetism,ok
23,cc133a7d-9327-4e1f-9434-34844bb4494a,Human health and disease,ok
24,50c227c7-107c-44c0-9348-6d42a6ceb531,Persistent pollutants and their effects,ok
25,50c227c7-107c-44c0-9348-6d42a6ceb531,Persistent pollutants and their effects,ok
26,2f1b7047-23c4-4d42-8c18-7bcd43c81785,Space science,ok
27,da25c547-22e0-4588-9da6-394acc65d1ba,Comparative government and constitutions,ok
28,4961002d-8d40-4fc2-a1df-bf161af98c88,"Governance, transparency and accountability",ok
29,0ad674a9-0694-42e8-ac87-a79e85e9f5b1,Right to life and personal liberty,ok
30,1afc4357-2858-4c3e-96df-b2edce2ef62c,Election and representation,ok
