question_number,assign_topic_id,microtopic_name,confidence
1,c06dd0e0-b36c-4c67-8348-91ff8b833eb8,"Mutual funds, ETFs and investment trusts",ok
2,f5ad1028-8843-46a9-a884-4b896581d7dc,Money and banking: RBI and monetary policy,ok
3,66a6ed8a-da45-4316-91bd-76b02672e6bc,Statutory and regulatory bodies,ok
4,8f03c3e9-d885-45fa-b2e4-aeebe1422591,Financial regulation and investor protection,ok
5,0e80d2a1-69d8-42b6-b305-8f6cbec1a798,Taxation — direct and indirect,ok
6,ca69ea82-a1ed-4dd3-a47e-d54de9ccc96f,Mineral and energy resources,ok
7,64bfd004-4a03-4e2c-832f-e2277f58cede,Capital market instruments and bonds,ok
8,598d7ce8-2a57-4f7f-a16a-e65c4b40d0bb,Equity markets and market participants,ok
9,cb0b98ec-6f66-4710-96e1-caba6a18dbc3,Solid wastes and e-waste,check
10,b2f1e8ea-7618-49b1-8d6c-c0674850ab25,Union Budget and the budget process,ok
11,31cf0e35-2872-42be-81da-39e73517a6cb,Colonial education and social reform,ok
12,29af2935-31ad-4498-8d5f-9bb5040484a3,Gandhian mass movements,ok
13,9ef945d6-6176-4099-94e8-8ca04fc4dbed,Early trade and urban centres,check
14,93929d93-b7fa-405b-b294-fd328cdffbf5,Early medieval dynasties,ok
15,93e92dcb-b8d4-4779-b77e-c5a2ffcdc46b,Gupta period,ok
16,93929d93-b7fa-405b-b294-fd328cdffbf5,Early medieval dynasties,ok
17,9ef945d6-6176-4099-94e8-8ca04fc4dbed,Early trade and urban centres,check
18,a4b0c3b7-ea6c-4748-9a96-8cab0fc63c8d,Music traditions and composers,ok
19,1cd9949b-3424-4350-a5eb-073f4d251c31,Mauryan empire,ok
20,29af2935-31ad-4498-8d5f-9bb5040484a3,Gandhian mass movements,ok
21,1af4be87-f327-4d7e-831d-98b4571d5858,Regional groupings and economic blocs,ok
22,6b2ca3a8-9659-48cb-9006-9d984b6da076,World physical features and landmarks,ok
23,6b2ca3a8-9659-48cb-9006-9d984b6da076,World physical features and landmarks,check
24,913b826e-eebe-412a-a39e-4b6766e14a0b,Land resources and agriculture,ok
25,2f44b4db-8b0d-4504-8161-5a04ea33a707,Plate tectonics,ok
26,7556e6ac-71df-4dd1-b2e9-94c7e525bab5,Composition and structure of atmosphere,ok
27,6cfd3c3c-80c4-4cce-8ab5-0a037a8b9dbe,"Solar radiation, heat balance and temperature",ok
28,523f626e-1464-4bcf-bf5b-2d1b0e019531,Minerals and rocks,check
29,98ad1c9d-e1be-46d2-a1b2-0646cda1ffff,Greenhouse effect and global warming,check
30,913b826e-eebe-412a-a39e-4b6766e14a0b,Land resources and agriculture,check
31,89b9d2cb-b90b-4cb3-9df9-16b8b47c3317,Air pollution and its control,check
32,69f5f696-e1f0-4a23-95e0-447297437ac3,"Climate treaties, institutions and initiatives",ok
33,2f1b7047-23c4-4d42-8c18-7bcd43c81785,Space science,ok
34,741b1b26-bb16-4931-96bb-2459aa06a661,Carbon markets and climate metrics,ok
35,9287d12d-472f-48c4-8b53-30ae06729a8a,"Global summits, declarations and compacts",check
36,9b6155ff-703a-45ba-956b-96845914c396,Carbon sinks and sequestration,ok
37,90933549-63ac-42c3-907b-4642292ebe14,Indian fauna and endemic species,ok
38,98ad1c9d-e1be-46d2-a1b2-0646cda1ffff,Greenhouse effect and global warming,ok
39,2acb3c6d-cd9f-4426-bb07-28a61b9b0c4e,Indian flora and forest produce,ok
