question_number,difficulty,basis,confidence
1,hard,"Which instruments count as Alternative Investment Funds — SEBI category detail",high
2,medium,"RBI's sources of income — standard economics",high
3,hard,"Agency-to-ministry pairs including the ED — detail",high
4,hard,"Business Responsibility and Sustainability Report — niche disclosure regime",high
5,medium,"Tax treatment of agricultural and allied income — standard",high
6,medium,"Minerals Security Partnership and critical minerals — 2023-24 news",high
7,easy,"Bondholder vs stockholder risk — NCERT/standard",high
8,hard,"India's share of global equity option contracts — Economic Survey detail",high
9,easy,"Circular economy — widely covered, inferable",high
10,easy,"Capital receipts — NCERT macroeconomics",high
11,easy,"Raja Ram Mohan Roy — Spectrum core",high
12,medium,"Non-Cooperation programme components — Spectrum",high
13,hard,"Araghatta — specialist term",high
14,hard,"Mattavilasa, Vichitrachitta, Gunabhara — Pallava titles, detail",high
15,easy,"Fa-hien and Chandragupta II — NCERT/standard",high
16,medium,"Rajendra Chola and Srivijaya — standard medieval",high
17,hard,"Mahajanapada regions and their rivers — detail",high
18,hard,"Where Paluskar founded the first Gandharva Mahavidyalaya — detail",high
19,medium,"Pradeshika, Rajuka, Yukta — standard Mauryan administration",high
20,medium,"Non-Cooperation Movement resolutions — Spectrum",high
21,medium,"NATO membership — atlas plus news",high
22,medium,"Countries the Andes cross — atlas",high
23,medium,"Which lakes the equator crosses — atlas",high
24,hard,"Turmeric production and variety statistics — agriculture data",high
25,easy,"Evidence for continental drift — NCERT geography",high
26,medium,"Atmospheric dust distribution — NCERT geography",high
27,medium,"January isotherms — NCERT geography",high
28,medium,"Permeability of chalk and clay — NCERT geography",high
29,easy,"Atmospheric heat retention — NCERT",high
30,medium,"Rashtriya Gokul Mission — scheme detail",high
31,medium,"Cement industry emissions — Shankar IAS",high
32,medium,"COP28 Declaration on Climate and Health — 2023 news",high
33,hard,"Shift in Earth's rotation, solar flares — niche",high
34,medium,"Article 6 of the Paris Agreement — Shankar IAS plus news",high
35,hard,"Nature Solutions Finance Hub — obscure",high
36,medium,"Direct Air Capture — news plus Shankar IAS",high
37,hard,"Peacock (Gooty) tarantula — detail",high
38,hard,"India's per-capita CO2 and regional rank — Economic Survey detail",high
39,hard,"Plant habit of cassava, ginger, malabar spinach — botany detail",high
40,medium,"Oxygen from rainforests vs oceans — NCERT biology",high
41,medium,"Alternative powertrain vehicles — general and news",high
42,medium,"UAV capabilities — general technology",high
43,hard,"Which elements form EV battery cathodes — niche",high
44,medium,"Everyday items containing plastic — news plus Shankar IAS",high
45,hard,"Products of coal gasification — niche",high
46,hard,"CL-20, HMX, LLM-105 — obscure",high
47,medium,"Majorana 1 chip and deep learning — 2025 news",high
48,medium,"Monoclonal antibodies — standard plus news",high
49,easy,"Virus biology — NCERT",high
50,medium,"Activated carbon — standard science",high
51,medium,"Scope of the ordinance power — Laxmikanth",high
52,hard,"State-specific descriptors for Arunachal and Nagaland — detail",high
53,medium,"Which councils are constitutional — Laxmikanth",high
54,medium,"Governor's discretion and reservation of bills — Laxmikanth",high
55,medium,"Separation of judiciary under the DPSP — Laxmikanth",high
56,medium,"Consequences of Fifth Schedule status — Laxmikanth",high
57,hard,"Boards and their controlling ministries — detail",high
58,medium,"Which amendments need State ratification — Laxmikanth",high
59,medium,"Governor's immunity — Laxmikanth",high
60,medium,"Petroleum sector activities — standard",high
61,medium,"Deficit from given figures — NCERT macroeconomics",high
62,easy,"INSTC — standard plus news",high
63,hard,"Brazil vs USA ethanol output — detail",high
64,medium,"Wet-bulb temperature warning — 2023-24 news",high
65,medium,"Gross primary deficit calculation — NCERT macroeconomics",high
66,hard,"15th Finance Commission grant figures — detail",high
67,medium,"IBRD's role — standard economics",high
68,medium,"RTGS vs NEFT — standard banking",high
69,medium,"Where UPI is accepted abroad — news",high
70,easy,"PM Surya Ghar Muft Bijli Yojana — prominent 2024 news",high
71,medium,"'Sedition has become my religion' — Spectrum",high
72,easy,"Dancing Girl is bronze — NCERT",high
73,hard,"Who defended those arrested after Chauri Chaura — detail",high
74,medium,"What prompted the Harijan campaign — Spectrum",high
75,medium,"Fruits introduced by the Portuguese — detail",high
76,hard,"Countries with more than four time zones — detail",high
77,medium,"Anadyr and Nome across the date line — NCERT geography",high
78,easy,"Founder of the Self-Respect Movement — Spectrum core",high
79,medium,"Botswana, Chile, Indonesia resources — general and news",high
80,easy,"Mallorca, Normandy, Sardinia — atlas",high
81,medium,"Rare earths in displays — standard science",high
82,medium,"National Rail Plan and Kavach — news",high
83,medium,"Axiom-4, SpaDeX, Gaganyaan — 2025 news",high
84,medium,"Dornier-228, IL-76, C-17 roles — standard defence",high
85,medium,"Cloud seeding for pollution — general science",high
86,medium,"Pardoning power of the President — Laxmikanth",high
87,medium,"Speaker's tenure on dissolution — Laxmikanth",high
88,medium,"Tenth Schedule disqualification — Laxmikanth",high
89,hard,"State rule-making on minor minerals — detail",high
90,medium,"EU Nature Restoration Law — 2024 news",high
91,medium,"Intermediate-level panchayats — Laxmikanth",high
92,medium,"BIMSTEC composition and origin — standard plus news",high
93,hard,"Gandhi Peace Prize jury composition — detail",high
94,medium,"GAGAN — standard S&T",high
95,easy,"AI Action Summit, Paris 2025 — prominent news",high
96,hard,"Which International Year falls in which year — detail",high
97,easy,"16th BRICS Summit at Kazan — prominent news",high
98,medium,"Lokpal provisions — Laxmikanth",high
99,medium,"First Kho Kho World Cup — 2025 news",high
100,easy,"Gukesh at the 45th Chess Olympiad — prominent news",high
