question_number,assign_topic_id,microtopic_name,confidence
1,a4b0c3b7-ea6c-4748-9a96-8cab0fc63c8d,Music traditions and composers,ok
2,1f90fbbf-7550-43c7-8127-5292227908c1,Colonial land revenue systems,check
3,9ef945d6-6176-4099-94e8-8ca04fc4dbed,Early trade and urban centres,ok
4,8b8d195d-6b48-48c4-9621-ebaa3c8d83cb,Temple architecture,ok
5,88219a6b-fff2-49a9-9336-092e31533444,Jainism,ok
6,4ff96891-ea5e-40e2-808c-dacc04c5a1f8,Painting traditions and schools,ok
7,1722f5df-cc06-4998-9c1d-f06bdfbde0ed,Ancient Indian literature and authors,check
8,512e8c00-e3c4-4351-b04b-05f26ba8140e,Harappan civilisation,ok
9,69b0ea72-cbd3-4936-81c0-3aa90ea17775,"Peasant, tribal and labour movements",ok
10,4af21078-e111-4375-8976-d6538d1e26ed,Vedic age,ok
11,ebe20275-2b75-4a64-9871-ff700a0487e3,Drainage system of India,check
12,5cd4d5a6-5d34-47e7-8f8d-f465541a446f,Buddhism,ok
13,4af21078-e111-4375-8976-d6538d1e26ed,Vedic age,check
14,ae7b07ac-7a87-4183-b467-8924abb7d13f,Buddhist and Jain rock-cut architecture,check
15,64bfe1f1-083a-4c78-8227-a8f5f89deef4,Post-Mauryan period and the Sangam age,ok
16,971a22b9-040e-4dea-804f-a3799312b6d7,Revolutionary movements and armed struggle,check
17,daa689f2-76b9-4bc2-9f2e-b9f41d9fda18,East India Company expansion and subsidiary alliance,check
18,8c060e1c-e55a-481b-9676-6d0d49874acb,Constitutional reforms and Government of India Acts,ok
19,a4b0c3b7-ea6c-4748-9a96-8cab0fc63c8d,Music traditions and composers,ok
20,1722f5df-cc06-4998-9c1d-f06bdfbde0ed,Ancient Indian literature and authors,ok
21,69f5f696-e1f0-4a23-95e0-447297437ac3,"Climate treaties, institutions and initiatives",ok
22,90933549-63ac-42c3-907b-4642292ebe14,Indian fauna and endemic species,ok
23,e9f28928-5171-442f-b919-74f878d15888,Marine ecosystems and coral reefs,check
24,5a8bc4f5-ab1e-4cf1-9ae4-280d9f161b07,Ports and inland waterways,ok
25,ebe20275-2b75-4a64-9871-ff700a0487e3,Drainage system of India,ok
26,84bc27b9-0cd8-4469-97cb-2c4678d19382,International boundaries and border disputes,check
27,90933549-63ac-42c3-907b-4642292ebe14,Indian fauna and endemic species,ok
28,1e6c07b8-b818-49ad-894e-9bdbdbed9080,Sustainable agriculture practices,ok
29,cb6b1afa-b744-469c-8c44-f7556b14ae31,Services sector and e-commerce,check
