question_id,year,question_number,pyq_paper_id,section_id,question_text_excerpt,suggested_subject_original,subject_slug,subject_id,subject_changed,topic_level,topic_id,topic_slug,topic_name,macro_topic_id,difficulty,confidence,notes
ba69621f-99ba-442c-9d13-5ae8db01c04d,2023,5,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,Towns of Export Excellence is a status provided to those towns which produce and export goods worth a minimum value in a specific sector. Sectors include handic,economics,finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,Y,microtopic,26aeb1e5-1491-4618-bba6-bf43e884ea89,fin-export-credit-and-trade-finance-7f162ab0,Export credit and trade finance,,medium,low,Foreign Trade Policy scheme threshold; no FTP microtopic - nearest is export/trade finance.
ff2a43cf-19d2-4b71-9e78-815af74a91a9,2023,6,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,"According to reports, a trilateral highway connecting Kolkata to ___ will be built and available for use in four years. Commerce ministers from numerous countri",,general-knowledge,cf18392b-3ee8-4046-b6bf-8a0b415bf209,assigned,microtopic,,gk-transport-corridors-and-ports-1ab12f3b,Transport corridors and ports,c7f0e071-3a29-4165-8ae9-2e43d2199a86,easy,medium,Blank suggested_subject -> general-knowledge; microtopic from workbench/rbi-gk-microtopic-map.csv (migration 273).
dc375824-9bd8-42ee-a07b-acdf2ac88636,2023,10,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,TRAI in its endeavour to curb menace of spams through Unsolicited Commercial Communication (UCC) has taken various measures in recent past such as cleaning data,,general-knowledge,cf18392b-3ee8-4046-b6bf-8a0b415bf209,assigned,microtopic,,gk-digital-public-platforms-and-e-governance-technology-9cd7508b,Digital public platforms and e-governance technology,424cc8f1-b96f-4fef-b2db-76128e34c7d0,easy,medium,Blank suggested_subject -> general-knowledge; microtopic from workbench/rbi-gk-microtopic-map.csv (migration 273).
92ec9348-e725-4bc2-86c1-6484d7617e01,2023,12,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,"According to Morgan Stanley, India is already the fastest- growing economy in the world with three megatrends in the country, global offshoring, digitalization,",,general-knowledge,cf18392b-3ee8-4046-b6bf-8a0b415bf209,assigned,microtopic,,gk-international-organisations-and-groupings-ccdfea5b,International organisations and groupings,343ffe9a-9415-4efe-bb5d-d23f38e739b9,easy,medium,Blank suggested_subject -> general-knowledge; microtopic from workbench/rbi-gk-microtopic-map.csv (migration 273).
828f8e49-5f89-434a-8d4c-dce4ada36b90,2023,14,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,"What makes a country worth living is not just economic hegemony and achievements of the state, it is the wealth of the culture of the people, accumulated over c",,general-knowledge,cf18392b-3ee8-4046-b6bf-8a0b415bf209,assigned,microtopic,,gk-international-organisations-and-groupings-ccdfea5b,International organisations and groupings,343ffe9a-9415-4efe-bb5d-d23f38e739b9,easy,medium,Blank suggested_subject -> general-knowledge; microtopic from workbench/rbi-gk-microtopic-map.csv (migration 273).
44ce8df3-df4e-43bf-9d39-a821dafa06e6,2023,15,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,"Since the implementation of monetary policy framework in 2016, the inflation rate has crossed upper threshold limit various times. The RBI informs central gover",economics,economics,ede9de7a-f24e-4b3b-bba2-fdd8d10f3fff,,microtopic,b0342814-c623-4615-a2aa-e9f6ad1c3df0,econ-inflation-targeting-framework-and-the-mpc-692592a1,Inflation targeting framework and the MPC,,easy,high,Statutory MPC accountability rule (RBI Act s.45ZN).
b89a3e1c-57bb-4aae-8e2a-0c9e914cf3f9,2023,17,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,The Digital Payment Index (DPI) is a metric used to measure the adoption and growth of digital payments within a country. It provides an assessment of the digit,banking,finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,Y,microtopic,4ac5fc1d-9fcf-4772-bd60-d9cfa9f8e673,fin-rbi-payments-vision-and-the-4es-b5483387,RBI Payments Vision and the 4Es,,medium,low,RBI Digital Payments Index; no DPI-index microtopic - nearest is RBI payments vision.
a333bbf9-fdbe-4896-9c05-56b42367ffed,2023,18,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,RBI has been organizing various public awareness campaigns for promoting financial literacy and safe banking practices. Which of the following mascots are used ,banking,finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,Y,microtopic,ffdc4541-194f-4155-a578-d0fc9d7d4c91,fin-financial-inclusion-index-and-schemes-f4ae2435,Financial Inclusion Index and schemes,,medium,low,RBI financial-literacy mascots; nearest is financial inclusion.
adaf7230-321a-4eec-b993-97639fcbcb53,2023,19,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,e-way bill is a document required to be carried by a person in charge of the conveyance carrying any consignment of goods of value exceeding ______ as mandated ,economics,finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,Y,microtopic,eedab1ad-56e1-4f9a-bf27-e6b077af1760,fin-gst-supply-input-tax-credit-zero-rated-exports-9d84554b,"GST — supply, input tax credit, zero-rated, exports",,easy,medium,GST e-way bill threshold (CGST Rules).
cf7c64b7-c5c5-46dc-a84a-43207cef04db,2023,22,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,Prudential guidelines aim to address credit risk concentration in non-banking financial companies (NBFCs). These guidelines focus on identifying and managing la,banking,finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,Y,microtopic,7bf9193a-dfbb-4626-8876-d7821016029b,fin-scale-based-regulation-of-nbfcs-f023576c,Scale-based regulation of NBFCs,,medium,high,
6cae56ac-d728-447c-a155-ad062d02e25c,2023,26,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,"The goals and vision of the RBI are categorized in the Payments Vision 2025 documents into five anchor goalposts – Integrity, Inclusion, Innovation, Institution",banking,finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,Y,microtopic,4ac5fc1d-9fcf-4772-bd60-d9cfa9f8e673,fin-rbi-payments-vision-and-the-4es-b5483387,RBI Payments Vision and the 4Es,,medium,high,
31907b64-c79f-4ceb-882a-88b2a33207f5,2023,28,e6019bda-45f7-43bf-96d8-aac6f91f383f,861e33ac-1ec1-4650-9d01-cffaa7df3ce3,"El Niño and La Niña are opposite phases of what is known as the El Niño-Southern Oscillation (ENSO) cycle. Indian Ocean ________, sometimes referred to as the I",,general-knowledge,cf18392b-3ee8-4046-b6bf-8a0b415bf209,assigned,microtopic,,gk-climate-and-ocean-atmosphere-phenomena-8085d1da,Climate and ocean-atmosphere phenomena,c7f0e071-3a29-4165-8ae9-2e43d2199a86,easy,medium,Blank suggested_subject -> general-knowledge; microtopic from workbench/rbi-gk-microtopic-map.csv (migration 273).
