"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty"
"question","b5a75097-c9b4-4309-a294-0325c3743816","2026","1","For 1/3 < x < y < 2, which of the following statements is/are always correct? x + 1/x < y + 1/y √(1+y²)/y < √(1+x²)/x Select the answer usin","non_ascii_suspect;no_primary_tag","flagged","verified","","0f739131-d019-48b8-9375-49d18cbf7444","hard"
"question","963d25b3-a1de-4873-8332-d32b430ab996","2026","2","What is the minimum number of times one needs to measure to get 298 litres of water from a tank, if the measuring cylinders have capacities ","no_primary_tag","flagged","verified","","0f739131-d019-48b8-9375-49d18cbf7444","medium"
"question","00811a21-389f-43b0-86a6-b9f0b6a645a6","2026","3","There are four types of weights, namely 1 kg, 2 kg, 5 kg and 10 kg. What is the maximum number of different ways one can measure 20 kg, if a","no_primary_tag","flagged","verified","","0f739131-d019-48b8-9375-49d18cbf7444","hard"
"question","b8228f34-a577-4a36-9525-98c54487ee59","2026","4","A cut on a solid object divides the object into two parts where the new surfaces thus produced are plane. On the other hand, one single cut ","non_ascii_suspect;no_primary_tag","flagged","verified","","0f739131-d019-48b8-9375-49d18cbf7444","medium"
"question","05acf40f-0d64-4977-bf88-c4963ff98fdc","2026","5","The class average x in a test increases by 4 when the score of a student is rectified, whose corrected score is 100 instead of 0. Later, the","no_primary_tag","flagged","verified","","0f739131-d019-48b8-9375-49d18cbf7444","medium"
"question","a4da5ae3-f39f-486d-9758-f6ada9dc8316","2026","6","Which of the following conclusions is/are valid? Though SARS-CoV-2 and HMPV are similar viruses with somewhat different epidemiology, the fo","no_primary_tag","flagged","verified","","ad50fd87-c83c-4feb-a8b2-2947ae967e73","hard"
"question","3ad9ae44-e316-4074-804e-06e31a9d437a","2026","7","Which of the following reflect the intent of the writer in the above passage? To evolve methodologies for objective analysis of the two viru","no_primary_tag","flagged","verified","","ad50fd87-c83c-4feb-a8b2-2947ae967e73","hard"
"question","1d84fb75-3ba0-4408-923c-186f9335c199","2026","8","Which of the following statements reflect the logical and rational inferences that can be drawn from the passage? HMPV has, historically, ha","no_primary_tag","flagged","verified","","ad50fd87-c83c-4feb-a8b2-2947ae967e73","hard"
"question","18cbbefb-86cb-4fe0-bf8a-4441d272e69a","2026","9","Three variables x, y and z take values 2, 3, 4 or 5 such that their values are always distinct. If M and N denote the largest possible value","non_ascii_suspect;no_primary_tag","flagged","verified","","0f739131-d019-48b8-9375-49d18cbf7444","hard"
"question","9fcdbfec-2e3b-4ac6-9ff6-9aca8c99209c","2026","10","Suppose x, y and z are variables taking positive real numbers as their possible values. It is given that y is directly proportional to x² an","non_ascii_suspect;no_primary_tag","flagged","verified","","0f739131-d019-48b8-9375-49d18cbf7444","hard"
