question_id,year,question_number,stored_key_label,upsc_key_label,draft_proposed_label,verdict,source_url,confidence,note
54e8305d-a038-4099-bb86-d1fb5e925b3e,2020,1,C,C,C,MATCH,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
1b396279-3e99-4ea2-becb-efbe2179f5d9,2020,2,D,D,D,MATCH,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
d4647efe-2a93-42c5-9859-74a87c83ee81,2020,3,B,B,B,MATCH,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
d2892ad6-97a9-43e2-abe9-13b75adb8c11,2020,4,B,B,B,MATCH,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
c3924051-cf9a-46dc-8963-0b5dfa227a7d,2020,5,C,C,C,MATCH,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
7aba3f5e-a58d-43d4-a9c8-04ab69524196,2020,6,D,D,D,MATCH,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
fcd92c55-173f-4320-bc08-5f4320d44bcc,2020,7,A,A,A,MATCH,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
8da41853-f145-4f61-9596-0357d4b7005e,2020,8,A,B,B,CORRECTION,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Stored key A contradicts UPSC (B). The draft had already proposed UPSC's answer. Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
f66c200b-bf27-4d68-98d4-89e41ed23fa4,2020,9,C,C,C,MATCH,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
c2bc25a6-ec83-4ded-bc78-bbbe7a4866c0,2020,10,C,C,C,MATCH,https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf,high,Corpus numbering = UPSC Series C (matched by dropped-item positions and 94/98 draft agreement).
