question_number,correct_option_label
1,b
2,c
3,b
4,a
5,a
6,c
7,a
8,d
9,d
10,b
11,c
12,a
13,a
14,c
15,b
16,a
17,b
18,b
19,a
20,c
21,c
22,b
23,c
24,b
25,a
26,d
27,a
28,a
29,a
30,b
31,b
32,b
33,b
34,d
35,c
36,a
37,c
38,c
39,a
40,d
41,a
42,d
43,b
44,a
45,a
46,b
47,b
48,c
49,c
50,d
51,b
52,b
53,b
54,c
55,b
56,a
57,b
58,a
59,b
60,d
61,c
62,a
63,a
64,a
65,d
66,c
67,b
68,a
69,c
70,d
71,a
72,c
73,d
74,a
75,b
76,a
77,d
78,a
79,d
80,d
81,d
82,d
83,a
84,d
85,a
86,b
87,d
88,c
89,b
90,a
91,c
92,a
93,a
94,c
95,a
96,a
97,d
98,d
99,c
100,c
