question_number,correct_option_label
1,c
2,c
3,a
4,c
5,a
6,d
7,a
8,d
9,a
10,c
11,b
12,b
13,d
14,b
15,b
16,b
17,d
18,d
19,a
20,a
21,b
22,d
23,b
24,a
25,b
26,a
27,c
28,b
29,b
30,b
31,d
32,d
33,b
34,a
35,b
36,b
37,d
38,c
39,c
40,c
41,a
42,b
43,b
44,b
45,c
46,a
47,a
48,
49,a
50,c
51,c
52,c
53,d
54,c
55,a
56,d
57,d
58,d
59,d
60,a
61,a
62,d
63,b
64,b
65,c
66,d
67,c
68,d
69,a
70,c
71,c
72,a
73,a
74,a
75,d
76,a
77,c
78,a
79,a
80,d
81,c
82,c
83,a
84,b
85,b
86,a
87,c
88,b
89,b
90,d
91,a
92,a
93,d
94,a
95,b
96,a
97,a
98,a
99,d
100,d
