question_number,correct_option_label
1,b
2,a
3,a
4,b
5,d
6,c
7,a
8,a
9,a
10,a
11,c
12,c
13,b
14,a
15,b
16,c
17,b
18,d
19,b
20,c
21,b
22,c
23,d
24,d
25,c
26,c
27,a
28,c
29,c
30,c
31,b
32,c
33,b
34,a
35,a
36,c
37,d
38,c
39,b
40,b
41,c
42,d
43,c
44,c
45,b
46,b
47,c
48,d
49,d
50,a
51,c
52,c
53,a
54,a
55,c
56,c
57,d
58,a
59,d
60,b
61,d
62,a
63,d
64,c
65,a
66,c
67,c
68,a
69,b
70,d
71,d
72,c
73,b
74,a
75,c
76,b
77,a
78,a
79,c
80,d
81,c
82,a
83,b
84,b
85,a
86,a
87,c
88,a
89,d
90,a
91,d
92,d
93,c
94,d
95,a
96,d
97,a
98,a
99,a
100,b
