question_number,correct_option_label
1,a
2,d
3,a
4,b
5,c
6,c
7,d
8,d
9,b
10,b
11,c
12,d
13,c
14,b
15,c
16,d
17,b
18,a
19,c
20,d
21,d
22,a
23,b
24,d
25,c
26,d
27,d
28,c
29,a
30,c
31,d
32,a
33,c
34,c
35,b
36,d
37,a
38,c
39,d
40,a
41,a
42,
43,d
44,c
45,b
46,a
47,
48,b
49,a
50,c
51,d
52,c
53,d
54,a
55,b
56,c
57,b
58,c
59,c
60,a
61,b
62,d
63,a
64,b
65,d
66,a
67,d
68,c
69,d
70,c
71,c
72,a
73,d
74,a
75,a
76,a
77,d
78,a
79,c
80,a
81,a
82,a
83,d
84,c
85,d
86,d
87,d
88,b
89,c
90,
91,d
92,a
93,d
94,a
95,c
96,b
97,a
98,b
99,a
100,a
