question_number,correct_option_label
1,c
2,d
3,b
4,b
5,c
6,d
7,a
8,a
9,c
10,c
11,a
12,a
13,d
14,a
15,a
16,a
17,a
18,d
19,c
20,c
21,b
22,a
23,c
24,a
25,a
26,d
27,c
28,a
29,d
30,d
31,c
32,c
33,d
34,b
35,a
36,b
37,a
38,a
39,d
40,c
41,b
42,
43,a
44,d
45,b
46,c
47,b
48,b
49,d
50,b
51,a
52,a
53,d
54,a
55,d
56,a
57,c
58,a
59,a
60,d
61,c
62,b
63,b
64,d
65,d
66,d
67,d
68,c
69,c
70,d
71,b
72,b
73,a
74,c
75,c
76,a
77,
78,a
79,a
80,a
81,b
82,d
83,d
84,d
85,d
86,a
87,d
88,d
89,a
90,d
91,b
92,b
93,d
94,d
95,b
96,d
97,d
98,d
99,a
100,c
