ref,topic_id,topic
GEOG-P1-1986-T001,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-1987-T003,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-1988-T004,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-1988-T008,73f70e40-f560-4e8e-a9ea-c36365847a62,Plate tectonics and recent views on mountain building
GEOG-P1-1989-T006,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-1990-T004,73f70e40-f560-4e8e-a9ea-c36365847a62,Plate tectonics and recent views on mountain building
GEOG-P1-1990-T008,ad9fce43-9333-406a-a94b-d1a550cb2e25,"Channel morphology, erosion surfaces and slope development"
GEOG-P1-1991-T008,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-1991-T010,ad9fce43-9333-406a-a94b-d1a550cb2e25,"Channel morphology, erosion surfaces and slope development"
GEOG-P1-1992-T010,f000106c-9bea-416c-bed8-c1fdcd011586,Factors controlling landform development; endogenetic and exogenetic forces
GEOG-P1-1992-T011,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-1993-T008,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-1993-T009,3e8d6909-90e5-42c8-b345-0aed658d6331,"Vulcanicity, earthquakes and tsunamis"
GEOG-P1-1994-T010,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-1995-T010,c5298761-3063-4a5d-89c6-2bc0c3e80207,Continental drift and isostasy
GEOG-P1-1996-T010,f000106c-9bea-416c-bed8-c1fdcd011586,Factors controlling landform development; endogenetic and exogenetic forces
GEOG-P1-1997-T008,101d60f5-085f-413d-aa50-ad05d9ad99b5,"Genesis, classification and distribution of soils; soil profile"
GEOG-P1-1997-T009,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-1998-T009,f000106c-9bea-416c-bed8-c1fdcd011586,Factors controlling landform development; endogenetic and exogenetic forces
GEOG-P1-1998-T010,73f70e40-f560-4e8e-a9ea-c36365847a62,Plate tectonics and recent views on mountain building
GEOG-P1-1999-T010,c5298761-3063-4a5d-89c6-2bc0c3e80207,Continental drift and isostasy
GEOG-P1-2000-T010,73f70e40-f560-4e8e-a9ea-c36365847a62,Plate tectonics and recent views on mountain building
GEOG-P1-2001-T011,c5298761-3063-4a5d-89c6-2bc0c3e80207,Continental drift and isostasy
GEOG-P1-2002-T008,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-2002-T009,17992314-27aa-43b0-ae23-40db28e497c6,Physical conditions of the earth's interior; geosynclines
GEOG-P1-2003-T010,ad9fce43-9333-406a-a94b-d1a550cb2e25,"Channel morphology, erosion surfaces and slope development"
GEOG-P1-2004-T009,f000106c-9bea-416c-bed8-c1fdcd011586,Factors controlling landform development; endogenetic and exogenetic forces
GEOG-P1-2004-T010,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-2005-T009,f000106c-9bea-416c-bed8-c1fdcd011586,Factors controlling landform development; endogenetic and exogenetic forces
GEOG-P1-2005-T010,17992314-27aa-43b0-ae23-40db28e497c6,Physical conditions of the earth's interior; geosynclines
GEOG-P1-2006-T010,c5298761-3063-4a5d-89c6-2bc0c3e80207,Continental drift and isostasy
GEOG-P1-2007-T009,c5298761-3063-4a5d-89c6-2bc0c3e80207,Continental drift and isostasy
GEOG-P1-2008-T010,e5570ff8-ac76-4538-81fb-0ffd99b4d135,Geomorphic cycles and landscape development; denudation chronology
GEOG-P1-2008-T011,73f70e40-f560-4e8e-a9ea-c36365847a62,Plate tectonics and recent views on mountain building
GEOG-P1-2009-T015,ad9fce43-9333-406a-a94b-d1a550cb2e25,"Channel morphology, erosion surfaces and slope development"
GEOG-P1-2009-T016,e3e9cd68-6779-43c8-b711-be2677716b6b,Factors influencing world distribution of plants and animals
