file,row_id,year,num,flags,text_preview
opt_anth_p1_tagged.csv,a1d34e52-18b9-4fbb-963f-9eadf5f317e7,2013,402,empty_or_short;no_primary_tag,Totemism.
opt_anth_p1_tagged.csv,9ae6eb60-d3e0-4a36-8559-cfc9472401ee,2015,402,empty_or_short;no_primary_tag,Incest Taboos.
opt_anth_p1_tagged.csv,1a134aeb-4e6d-47ab-ba78-fdbc8764909f,2015,403,empty_or_short;no_primary_tag,Horticulture.
opt_anth_p1_tagged.csv,e955f45d-0261-4a52-95e3-2b38359700fa,2016,403,empty_or_short;no_primary_tag,Totemism.
opt_anth_p1_tagged.csv,7144f07c-9f4b-4255-a420-73fc72939055,2016,404,empty_or_short;no_primary_tag,Functionalism.
opt_anth_p1_tagged.csv,3f9676a2-daa1-472d-b946-387f5dd820c6,2016,415,empty_or_short;no_primary_tag,Rhodesian Man.
opt_anth_p1_tagged.csv,6cf6098f-b360-4ed6-b39c-46a2fcab03a7,2017,404,empty_or_short;no_primary_tag,Questionnaire.
opt_anth_p1_tagged.csv,07ce1a5b-d7ec-4a83-b9c2-39d1031c9514,2019,416,empty_or_short;no_primary_tag,Olduvai Gorge.
opt_anth_p1_tagged.csv,22011757-67b2-4efe-abec-148423f9a0f7,2020,415,empty_or_short;no_primary_tag,Genetic drift.
opt_anth_p1_tagged.csv,a02b35f9-8165-4d89-9953-e2aad0d7709f,2020,418,empty_or_short;no_primary_tag,Senescence.
opt_anth_p1_tagged.csv,c03a3696-57aa-4da0-b7fe-3f7fad4e6277,2024,421,non_ascii_suspect;no_primary_tag,How does Lévi-Strauss look at the Tsimshian myth of Asdiwal? Critically discuss Lévi-Strauss' theory
opt_anth_p2_tagged.csv,444f9aa6-1b98-4088-86fc-4eb497c1e250,2016,455,non_ascii_suspect;no_primary_tag,Write about the contribution made by Christoph von Fürer-Haimendors to tribal anthropology in India.
opt_anth_p2_tagged.csv,8714c85e-99de-4960-b1fd-d59779a2399c,2018,468,empty_or_short;no_primary_tag,Modernization.
opt_anth_p2_tagged.csv,42935d20-3763-4b88-a920-1ee07bcca59a,2020,465,empty_or_short;no_primary_tag,'Narmada' Man.
opt_anth_p2_tagged.csv,23f147c6-6365-4db1-912d-5187b6f10487,2022,477,non_ascii_suspect;no_primary_tag,How can a balance be struck between livelihood concern and environmental dégradation in the context 
opt_geog_p1_tagged.csv,93853692-6364-4cab-8b26-b1731a9754d6,2023,623,non_ascii_suspect;no_primary_tag,"""The stages of Demographic Transition are a reflection of uneven económic development across the glo"
opt_geog_p1_tagged.csv,0789d1fa-c5ca-4ebf-9daf-ce37e1594e83,2024,606,non_ascii_suspect;no_primary_tag,Describe latitudinal distribution of Köppen's classification of world climate.
opt_geog_p2_tagged.csv,e9ee6d35-9f1a-46bf-85ad-803cc1bdab4c,2020,651,empty_or_short;no_primary_tag,Vadhawan.
opt_geog_p2_tagged.csv,43c81826-6f49-41a9-872d-15fcbea48941,2020,652,empty_or_short;no_primary_tag,Salkhan.
