"question_id","paper","reason"
"68a3070c-02f4-42a7-b120-2fa5b849cc02","GS3","OCR official paper match score 99.5; operator-reviewed 2026-09-22"
"80425c57-898b-4de4-baf8-f32dc61f5723","GS3","OCR official paper match score 99.5; operator-reviewed 2026-09-22"
"36504cf8-66d1-4bd1-a496-5fdc490b07b2","GS3","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"7f060705-4805-44dc-81e3-09185c035fb3","GS3","OCR official paper match score 98.0; operator-reviewed 2026-09-22"
"efe4610a-679b-4d7d-8d05-77e67b1befa0","GS3","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"933ba7ad-3c3e-42a1-a02d-95bc9cc45cd7","GS4","OCR official paper match score 99.5; operator-reviewed 2026-09-22"
"6d2c8ae5-c998-463b-a07d-ab9ce3c3bc35","GS3","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"87838de3-9659-4a03-b56c-6987a3f05cdf","GS3","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"23c691cb-489d-4a00-8aff-f9facb00f21f","GS1","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"127c91fc-7c19-4381-a2b6-4b8da15e0827","GS1","OCR official paper match score 97.0; operator-reviewed 2026-09-22"
"5f443064-4289-45cd-91c1-d2463feabdf3","GS1","OCR official paper match score 96.0; operator-reviewed 2026-09-22"
"af6f5dfa-c891-4d0f-bc7a-bdb8d7071d9f","GS1","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"eb4dee7c-fca6-4eee-b810-555273464979","GS1","OCR official paper match score 99.2; operator-reviewed 2026-09-22"
"1b46405a-d934-40ce-a4e7-b50d46d5d5a5","GS1","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"cf790942-98c8-49a7-ab71-80400861970c","GS3","OCR official paper match score 98.7; operator-reviewed 2026-09-22"
"873d8ddf-914e-479e-aacb-97de71e2c3e0","GS1","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"5b77fe00-30de-4899-84d9-023820c2bfdb","GS1","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"909d56ed-6fa1-4e40-a5b7-f8d98d638a5a","GS3","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"77bbd582-94d5-48d8-841e-6ed863e7ac59","GS1","OCR official paper match score 97.7; operator-reviewed 2026-09-22"
"713bca3a-2dc5-41c2-a317-138ffa72e523","GS3","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"d6c7c55e-faef-4d0e-b438-ababfaf6e2e3","GS3","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
"8113fcab-3f19-4faf-941a-77c0105da1bc","GS3","OCR official paper match score 97.8; operator-reviewed 2026-09-22"
"2ba27359-bf59-4014-82a5-a8bc6ad5fbce","GS4","OCR official paper match score 98.6; operator-reviewed 2026-09-22"
"6b54e724-28d7-4470-9ea3-100ef272ef50","GS1","OCR official paper match score 97.6; operator-reviewed 2026-09-22"
"ed7de7d5-3189-4148-85e1-f947d4c814de","GS1","OCR official paper match score 98.0; operator-reviewed 2026-09-22"
"c718113f-22cd-4b85-8b0e-34b29265f482","GS3","OCR official paper match score 96.4; operator-reviewed 2026-09-22"
"70e5150d-85e1-40ec-9abc-7ab90e51d672","GS3","OCR official paper match score 100.0; operator-reviewed 2026-09-22"
