paper_id,paper_label,year,trust_status,questions,sections,missing_options,missing_answer_key,duplicate_stem_groups,duplicate_stem_questions,non_ascii,repeat_char,empty_or_short,question_number_missing_count,question_number_missing,question_number_repeated,question_number_non_numeric,projection_gate,blocking_fields
1ac764cc-eb05-4bb4-9d4c-0dece694d27c,12:30 PM - 1:30 PM / 2024-09-13,2024,pending,66,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=23,0,0,0,0,14,9,0,34,"5,8,12,13,21,22,23,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,53,72",,0,blocked,source_url
253f2938-bb65-440f-9487-6dd428902a44,12:30 PM - 1:30 PM / 2024-09-11,2024,pending,67,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=24,0,0,0,0,4,7,0,33,"6,11,16,19,21,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,61",,0,blocked,source_url
5fba8083-8f54-437d-b01f-c8fcb99ca226,12:30 PM - 1:30 PM / 2024-09-12,2024,pending,65,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=22,0,0,0,0,13,11,0,35,"2,8,10,15,18,19,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,57,62,63",,0,blocked,source_url
91bbd4eb-f11a-4c8e-8f58-bfe0401a45fb,12:30 PM - 1:30 PM / 2024-09-09,2024,pending,65,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=22,0,0,0,0,0,2,0,35,"1,10,15,16,20,21,23,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,60,62,74",,0,blocked,source_url
c45d88c2-6c39-45ac-80f3-6028a54b1bf7,12:30 PM - 1:30 PM / 2024-09-10,2024,pending,66,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=23,0,0,0,0,0,9,0,34,"11,12,14,15,17,20,23,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,58,69",,0,blocked,source_url
3d903cdf-c4b6-41e0-855c-0c86f01ea971,4:00 PM - 5:00 PM / 2024-09-10,2024,pending,66,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=23,0,0,0,0,0,9,0,34,"2,3,4,6,10,15,18,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,66",,0,blocked,source_url
55571471-ae6b-458e-b866-47680b25cd4a,4:00 PM - 5:00 PM / 2024-09-12,2024,pending,65,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=22,0,0,0,0,18,8,0,35,"2,6,10,13,15,17,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,57,59,65",,0,blocked,source_url
64b4c673-9872-4a5d-b47b-0d3d3ea861ed,4:00 PM - 5:00 PM / 2024-09-09,2024,pending,67,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=24,0,0,0,0,0,4,0,33,"1,6,10,16,19,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,66",,0,blocked,source_url
907ebc61-36e3-40a8-a18a-f8a3db4e8ac9,4:00 PM - 5:00 PM / 2024-09-11,2024,pending,67,English Comprehension=25; General Intelligence and Reasoning=17; Quantitative Aptitude=25,0,0,0,0,3,8,0,33,"1,2,6,12,13,14,17,21,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",,0,blocked,source_url
7645f4ae-473f-4929-a904-539e37c55f17,9:00 AM - 10:00 AM / 2024-09-10,2024,pending,67,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=24,0,0,0,0,0,5,0,33,"1,2,8,16,17,19,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,62",,0,blocked,source_url
a07a5e62-72a0-474d-9b7f-20bc8bde5595,9:00 AM - 10:00 AM / 2024-09-11,2024,pending,66,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=23,0,0,0,0,0,6,0,34,"4,5,10,16,17,18,19,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,64,69",,0,blocked,source_url
b02de7ed-8f67-4355-9687-f886796373e6,9:00 AM - 10:00 AM / 2024-09-13,2024,pending,66,English Comprehension=25; General Intelligence and Reasoning=18; Quantitative Aptitude=23,0,0,0,0,17,9,0,34,"3,8,16,18,20,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,65,72",,0,blocked,source_url
d52fd1f6-a2a1-4840-a6c4-9d23d2097f9f,9:00 AM - 10:00 AM / 2024-09-12,2024,pending,57,English Comprehension=25; General Intelligence and Reasoning=16; Quantitative Aptitude=16,0,0,0,0,0,3,0,43,"4,9,10,17,18,19,20,21,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,61,62,66,67,68,70,71,74",,0,blocked,source_url
