year,question_id,question_number,tag_paper,ocr_paper,ocr_score,method,verified_against,reason,excerpt
2024,70104bcb-467e-4a2b-8284-7e222d8ca338,1,1,,0.0,tag,1,,ऋग्वैदिक से उत्तर-वैदिक काल तक सामाजिक और आर्थिक क्षेत्र में घटित परिवर्तनों को 
2024,2d14b4d3-2d12-4881-91f6-e5c623dbb1b3,2,1,,0.0,tag,1,,दक्षिण भारत में कला व साहित्य के विकास में काँची के पल्लवों के योगदान का मूल्यां
2024,723e28de-a11d-4319-abe5-bd8e080612c9,3,1,,0.0,tag,1,,वे कौन-सी घटनाएँ थीं जिनके कारण भारत छोड़ो आंदोलन शुरू हुआ? इसके परिणामों को स्प
2024,cd764ae3-2099-4150-885d-62c4d992e164,4,1,,0.0,tag,1,,समुद्री सतह के तापमान में वृद्धि क्या है? यह उष्णकटिबंधीय चक्रवातों के निर्माण क
2024,79bf0157-decd-465b-bd11-6776593c4307,5,1,,0.0,tag,1,,छोटे शहरों की तुलना में बड़े शहर अधिक प्रवासियों को क्यों आकर्षित करते हैं? विका
2024,98d1aa1c-d89b-429d-9d71-e778a2e58e61,6,1,,0.0,tag,1,,'बादल फटने' की परिघटना क्या है? व्याख्या कीजिए। (150 शब्द) — 10 What is the phen
2024,dafabe02-dd9f-4318-a4b7-024f455820ea,7,1,,0.0,tag,1,,'जनसांख्यिकीय शीत (डेमोग्राफिक विन्टर)' की अवधारणा क्या है? क्या यह दुनिया ऐसी स
2024,b411802f-d6b2-4eab-ac8e-05d8660a441e,8,1,,0.0,tag,1,,"लैंगिक समानता, लैंगिक निष्पक्षता एवं महिला सशक्तिकरण के बीच अंतर को स्पष्ट कीजिए"
2024,9dfa10d3-9330-45af-a989-a4197850e0db,9,1,,0.0,tag,1,,"समान सामाजिक-आर्थिक पक्ष वाली जातियों के बीच अंतरजातीय विवाह कुछ हद तक बढ़े हैं,"
2024,6f3b5419-88a6-4ee2-93b0-692eb1ef006d,10,1,,0.0,tag,1,,"विकास के सामाजिक-आर्थिक मुद्दों से निपटने में सरकार, गैर-सरकारी संगठनों एवं निजी"
2024,944924be-2c1f-4e24-bad7-91c5d7f193bb,11,1,,0.0,tag,1,,"""हालाँकि महान चोल शासक अभी मौजूद नहीं हैं लेकिन उनकी कला व वास्तुकला के क्षेत्र "
